MASKIMAGEAUTOFOCUS,HEADER,14,14128,mask_mark_res_rx,float,-99999999999999,"",-99999999999999
IlluminationStatusLog,HEADER,2,34B02,flyeyesd_pos,integer,-99999999999999,"",-99999999999999
ChamberDetailLog,CHB_A,66,"",independent_fan_current,float,-99999999999999,"",-99999999999999
ChamberDetailLog,CHB_A,65,"",independent_fan_frequency,float,-99999999999999,"",-99999999999999
ChamberDetailLog,CHB_A,64,"",common_fan_power_consumption,float,-99999999999999,"",-99999999999999
ChamberDetailLog,CHB_A,95,"",ps_x_z_flow_rate,float,-99999999999999,"",-99999999999999
ChamberDetailLog,CHB_A,94,"",ms_flow_rate,float,-99999999999999,"",-99999999999999
ChamberDetailLog,CHB_A,93,"",pump_power_consumption,float,-99999999999999,"",-99999999999999
ChamberDetailLog,CHB_A,92,"",pump_current,float,-99999999999999,"",-99999999999999
ChamberDetailLog,CHB_A,91,"",pump_frequency,float,-99999999999999,"",-99999999999999
ChamberDetailLog,CHB_A,90,"",chiller_refrigerator_power_consumption,float,-99999999999999,"",-99999999999999
ChamberDetailLog,CHB_A,89,"",chiller_refrigerator_current,float,-99999999999999,"",-99999999999999
ChamberDetailLog,CHB_A,88,"",chiller_refrigerator_frequency,float,-99999999999999,"",-99999999999999
ChamberDetailLog,CHB_A,87,"",chiller_refrigerant_inhalation_temperature,float,-99999999999999,"",-99999999999999
ChamberDetailLog,CHB_A,86,"",chiller_discharge_pressure_mv,float,-99999999999999,"",-99999999999999
ChamberDetailLog,CHB_A,85,"",chiller_discharge_pressure,float,-99999999999999,"",-99999999999999
ChamberDetailLog,CHB_A,84,"",chiller_condensation_pressure_mv,float,-99999999999999,"",-99999999999999
ChamberDetailLog,CHB_A,83,"",chiller_condensation_pressure,float,-99999999999999,"",-99999999999999
ChamberDetailLog,CHB_A,82,"",chiller_evaporation_pressure_mv,float,-99999999999999,"",-99999999999999
ChamberDetailLog,CHB_A,81,"",chiller_evaporation_pressure,float,-99999999999999,"",-99999999999999
ChamberDetailLog,CHB_A,1,"",date,timestamp1,-99999999999999,"",-99999999999999
IlluminationStatusLog,HEADER,3,34B00,flyeye_sib_illmode_pos,integer,-99999999999999,"",-99999999999999
IlluminationStatusLog,HEADER,4,34B01,slit_ndfilter_pos,integer,-99999999999999,"",-99999999999999
OASMEASUREMENTMONITOR,HEADER,3,24A30,camera,character,-99999999999999,"",-99999999999999
LIPSLogFocus,TYPE30,28,"",ill_mode,character,-99999999999999,"",-99999999999999
OASMEASUREMENTMONITOR,HEADER,1,24160,plate,integer,1,"",-99999999999999
MECHAPREALIGNMENT,HEADER,11,24048,chuck,character,-99999999999999,"",-99999999999999
MSXBMBMonitor,HEADER,1,24160,plate,integer,1,"",-99999999999999
MSXBMBMonitor,HEADER,4,Device,device,character,-99999999999999,"",-99999999999999
CHAMBERATMOSPHEREPRESSURELOG,HEADER,6,LotID,lot_id,character,-99999999999999,"",-99999999999999
ALIGNMENTCONDITIONMONITOR[PLATEFINEMARK],HEADER,29,18446,half_wave_plate_left,integer,1,"",-99999999999999
ALIGNMENTCONDITIONMONITOR[PLATEFINEMARK],HEADER,30,18447,half_wave_plate_right,integer,1,"",-99999999999999
CHAMBERATMOSPHEREPRESSURELOG,HEADER,1,Date Time,log_time,timestamp1,-99999999999999,"",-99999999999999
OASMEASUREMENTMONITOR,HEADER,23,Chuck,chuck,character,-99999999999999,"",-99999999999999
OASMEASUREMENTMONITOR,HEADER,22,Date Time,log_time,timestamp1,-99999999999999,"",-99999999999999
OASMEASUREMENTMONITOR,HEADER,20,GlassID,glass_id,character,-99999999999999,"",-99999999999999
OASMEASUREMENTMONITOR,HEADER,19,24A29,status,character,-99999999999999,"",-99999999999999
LIPSLogFocus,TYPE30,3,"",process,character,-99999999999999,"",-99999999999999
ADCMEASUREMENT,HEADER,21,14163,p1_measnum,integer,1,"",-99999999999999
LIPSLogFocus,TYPE30,1,"",datetime,timestamp1,-99999999999999,"",-99999999999999
ALIGNMENTCONDITIONMONITOR[PLATEFINEMARK],HEADER,10,18437,mp_avg_eval_brightness_left,integer,1,"",-99999999999999
ADCMEASUREMENT,HEADER,24,14106,baselayermachine_no,integer,1,"",-99999999999999
ADCMEASUREMENT[RAW],HEADER,17,Date Time,log_time,timestamp1,-99999999999999,"",-99999999999999
ADCMEASUREMENT,HEADER,26,LotID,lot_id,character,-99999999999999,"",-99999999999999
EACHSHOTILLUMINATIONAUTOADJUSTMONITOR,HEADER,14,100D0,chuck,character,-99999999999999,"",-99999999999999
ALIGNMENTCONDITIONMONITOR[PLATEFINEMARK],HEADER,15,1843C,mp_avg_eval_contrast_right,integer,1,"",-99999999999999
EACHSHOTILLUMINATIONAUTOADJUSTMONITOR,HEADER,12,LotID,lot_id,character,-99999999999999,"",-99999999999999
EACHSHOTILLUMINATIONAUTOADJUSTMONITOR,HEADER,11,GlassID,glass_id,character,-99999999999999,"",-99999999999999
EACHSHOTILLUMINATIONAUTOADJUSTMONITOR,HEADER,10,321E5,adjust_mode,integer,-99999999999999,"",-99999999999999
ErrorLog,TYPE10,7,"",device,character,-99999999999999,"",-99999999999999
