PLATEAUTOFOCUSCOMPENSATION,mask_bend_height,range.max,max,6,MASK BEND Height Range,TRUE
PLATEAUTOFOCUSCOMPENSATION,mask_bend_pitch,ave,delta.abs.max,7,MASK BEND Pitching AVE,TRUE
PLATEAUTOFOCUSCOMPENSATION,mask_bend_pitch,range.max,max,8,MASK BEND Picthing Range,TRUE
PLATEAUTOFOCUSCOMPENSATION,mask_bend_roll,ave,delta.abs.max,9,MASK BEND Rolling AVE,TRUE
PLATEAUTOFOCUSCOMPENSATION,mask_bend_roll,range.max,max,10,MASK BEND Rolling Range,TRUE
PLATEAUTOFOCUSCOMPENSATION,chuck_pos_afc_meas_height,ave,delta.abs.max,11,Chuck Posture Height AVE,TRUE
PLATEAUTOFOCUSCOMPENSATION,chuck_pos_afc_meas_height,3sigma,max,12,Chuck Posture Height 3sigma,TRUE
PLATEAUTOFOCUSCOMPENSATION,chuck_pos_afc_meas_pitch,ave,delta.abs.max,13,Chuck Posture Pitching AVE,TRUE
PLATEAUTOFOCUSCOMPENSATION,chuck_pos_afc_meas_pitch,3sigma,ave,14,Chuck Posture Pitching 3sigma,TRUE
PLATEAUTOFOCUSCOMPENSATION,chuck_pos_afc_meas_roll,ave,delta.abs.max,15,Chuck Posture Rolling AVE,TRUE
PLATEAUTOFOCUSCOMPENSATION,chuck_pos_afc_meas_roll,3sigma,max,16,Chuck Posture Rolling 3sigma,TRUE
PLATEAUTOFOCUSCOMPENSATION,stage_pos_afc_meas_height,ave,delta.abs.max,17,Stage Pos. Height AVE,TRUE
PLATEAUTOFOCUSCOMPENSATION,stage_pos_afc_meas_height,3sigma.abs,ave,18,Stage Pos. Height 3sigma,TRUE
PLATEAUTOFOCUSCOMPENSATION,stage_pos_afc_meas_pitch,ave,delta.abs.max,19,Stage Pos. Pitching AVE,TRUE
PLATEAUTOFOCUSCOMPENSATION,stage_pos_afc_meas_roll,ave,delta.abs.max,20,Stage Pos. Rolling AVE,TRUE
PLATEAUTOFOCUSCOMPENSATION,stage_pos_afc_meas_z1,ave,delta.abs.max,21,Stage Pos. Z1 AVE,TRUE
PLATEAUTOFOCUSCOMPENSATION,stage_pos_afc_meas_z2,ave,delta.abs.max,22,Stage Pos. Z2 AVE,TRUE
PLATEAUTOFOCUSCOMPENSATION,stage_pos_afc_meas_z3,ave,delta.abs.max,23,Stage Pos. Z3 AVE,TRUE
PLATEAUTOFOCUSCOMPENSATION,stage_pos_afc_meas_z4,ave,delta.abs.max,24,Stage Pos. Z4 AVE,TRUE
PRESCANCOMPENSATIONMONITOR,lot_id,-99999999999999,-99999999999999,1,LotID,FALSE
PRESCANCOMPENSATIONMONITOR,glass_id,nunique,-99999999999999,2,Plate Num,FALSE
PRESCANCOMPENSATIONMONITOR,expo_start_pos_psy,ave,abs.max,3,Expo. Start PSY AVE,TRUE
PRESCANCOMPENSATIONMONITOR,expo_start_pos_psz,ave,abs.max,4,Expo. Start PSZ AVE,TRUE
PRESCANCOMPENSATIONMONITOR,expo_start_pos_psr,ave,abs.max,5,Expo. Start PS Roll AVE,TRUE
PRESCANCOMPENSATIONMONITOR,expo_start_pos_psp,ave,abs.max,6,Expo. Start PS Pitch AVE,TRUE
PRESCANCOMPENSATIONMONITOR,expo_start_pos_psz,3sigma,max,7,Expo. Start PSZ 3sigma,TRUE
PRESCANCOMPENSATIONMONITOR,expo_start_pos_psr,3sigma,max,8,Expo. Start PS Roll 3sigma,TRUE
PRESCANCOMPENSATIONMONITOR,expo_start_pos_psp,3sigma,max,9,Expo. Start PS Pitch 3sigma,TRUE
PRESCANCOMPENSATIONMONITOR,expo_end_pos_psy,ave,abs.max,10,Expo. End PSY AVE,TRUE
PRESCANCOMPENSATIONMONITOR,expo_end_pos_psz,ave,abs.max,11,Expo. End PSZ AVE,TRUE
PRESCANCOMPENSATIONMONITOR,expo_end_pos_psr,ave,abs.max,12,Expo. End PS Roll AVE,TRUE
PRESCANCOMPENSATIONMONITOR,expo_end_pos_psp,ave,abs.max,13,Expo. End PS Pitch AVE,TRUE
PRESCANCOMPENSATIONMONITOR,expo_end_pos_psz,3sigma,max,14,Expo. End PSZ 3sigma,TRUE
PRESCANCOMPENSATIONMONITOR,expo_end_pos_psr,3sigma,max,15,Expo. End PS Roll 3sigma,TRUE
PRESCANCOMPENSATIONMONITOR,expo_end_pos_psp,3sigma,max,16,Expo. End PS Pitch 3sigma,TRUE
PRESCANCOMPENSATIONMONITOR,psz_comp_start_pos1_psy,ave,abs.max,17,PSZ Pos1 PSY AVE,TRUE
PRESCANCOMPENSATIONMONITOR,psz_comp_start_pos1_psz,ave,abs.max,18,PSZ Pos1 PSZ AVE,TRUE
PRESCANCOMPENSATIONMONITOR,psr_comp_start_pos1_psr,ave,abs.max,19,PSZ Pos1 PS Roll AVE,TRUE
PRESCANCOMPENSATIONMONITOR,psp_comp_start_pos1_psp,ave,abs.max,20,PSZ Pos1 PS Pitch AVE,TRUE
PRESCANCOMPENSATIONMONITOR,psz_comp_start_pos1_psz,3sigma,max,21,PSZ Pos1 PSZ 3sigma,TRUE
PRESCANCOMPENSATIONMONITOR,psr_comp_start_pos1_psr,3sigma,max,22,PSZ Pos1 PS Roll 3sigma,TRUE
PRESCANCOMPENSATIONMONITOR,psp_comp_start_pos1_psp,3sigma,max,23,PSZ Pos1 PS Pitch 3sigma,TRUE
PRESCANCOMPENSATIONMONITOR,psz_comp_start_pos2_psy,ave,abs.max,24,PSZ Pos2 PSY AVE,TRUE
PRESCANCOMPENSATIONMONITOR,psz_comp_start_pos2_psz,ave,abs.max,25,PSZ Pos2 PSZ AVE,TRUE
PRESCANCOMPENSATIONMONITOR,psr_comp_start_pos2_psr,ave,abs.max,26,PSZ Pos2 PS Roll AVE,TRUE
PRESCANCOMPENSATIONMONITOR,psp_comp_start_pos2_psp,ave,abs.max,27,PSZ Pos2 PS Pitch AVE,TRUE
PRESCANCOMPENSATIONMONITOR,psz_comp_start_pos2_psz,3sigma,max,28,PSZ Pos2 PSZ 3sigma,TRUE
PRESCANCOMPENSATIONMONITOR,psr_comp_start_pos2_psr,3sigma,max,29,PSZ Pos2 PS Roll 3sigma,TRUE
PRESCANCOMPENSATIONMONITOR,psp_comp_start_pos2_psp,3sigma,max,30,PSZ Pos2 PS Pitch 3sigma,TRUE
PRESCANCOMPENSATIONMONITOR,psz_maxdiff_psy,ave,abs.max,31,PSZ Max Diff. PSY AVE,TRUE
PRESCANCOMPENSATIONMONITOR,psz_maxdiff_psy,3sigma,max,32,PSZ Max Diff. PSY 3sigma,TRUE
PRESCANCOMPENSATIONMONITOR,psz_maxdiff_psz,ave,abs.max,33,PSZ Max Diff. PSZ AVE,TRUE
PRESCANCOMPENSATIONMONITOR,psz_maxdiff_psz,3sigma,max,34,PSZ Max Diff. PSZ 3sigma,TRUE
